

DBspace Usage Report: rootdbs             Owner: informix  Created: 06/10/2014


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 C:\ol_kg_data\rootdbs_dat.000                  4    51200    20278    30922

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 RESERVED PAGES                                                       0       12
 CHUNK FREELIST PAGE                                                 12        1
 rootdbs:'informix'.TBLSpace                                         13      250
 FREE                                                               263    12500
 LOGICAL LOG: Log file 1                                          12763     2500
 LOGICAL LOG: Log file 2                                          15263     2500
 LOGICAL LOG: Log file 3                                          17763     2500
 LOGICAL LOG: Log file 4                                          20263     2500
 LOGICAL LOG: Log file 5                                          22763     2500
 LOGICAL LOG: Log file 6                                          25263     2500
 sysmaster:'informix'.sysdatabases                                27763        4
 system:'informix'.syslicenseinfo                                 27767       16
 sysmaster:'informix'.systables                                   27783        8
 sysmaster:'informix'.syscolumns                                  27791       16
 sysmaster:'informix'.sysindices                                  27807       64
 sysmaster:'informix'.systabauth                                  27871        8
 sysmaster:'informix'.syscolauth                                  27879        8
 sysmaster:'informix'.sysviews                                    27887        8
 sysmaster:'informix'.sysusers                                    27895        8
 sysmaster:'informix'.sysdepend                                   27903        8
 sysmaster:'informix'.syssynonyms                                 27911        8
 sysmaster:'informix'.syssyntable                                 27919        8
 sysmaster:'informix'.sysconstraints                              27927        8
 sysmaster:'informix'.sysreferences                               27935        8
 sysmaster:'informix'.syschecks                                   27943        8
 sysmaster:'informix'.sysdefaults                                 27951        8
 sysmaster:'informix'.syscoldepend                                27959        8
 sysmaster:'informix'.sysprocedures                               27967        8
 sysmaster:'informix'.sysprocbody                                 27975        8
 sysmaster:'informix'.sysprocplan                                 27983        8
 sysmaster:'informix'.sysprocauth                                 27991        8
 sysmaster:'informix'.sysblobs                                    27999        8
 sysmaster:'informix'.sysopclstr                                  28007        8
 sysmaster:'informix'.systriggers                                 28015        8
 sysmaster:'informix'.systrigbody                                 28023        8
 sysmaster:'informix'.sysdistrib                                  28031        8
 sysmaster:'informix'.sysfragments                                28039        8
 sysmaster:'informix'.sysfragauth                                 28047        8
 sysmaster:'informix'.sysxtdtypes                                 28055        8
 sysmaster:'informix'.sysxtddesc                                  28063        8
 sysmaster:'informix'.sysattrtypes                                28071        8
 sysmaster:'informix'.sysinherits                                 28079        8
 sysmaster:'informix'.syscolattribs                               28087        8
 sysmaster:'informix'.syslogmap                                   28095        8
 sysmaster:'informix'.syscasts                                    28103       16
 sysmaster:'informix'.sysxtdtypeauth                              28119        8
 sysmaster:'informix'.sysams                                      28127        8
 sysmaster:'informix'.systabamdata                                28135        8
 sysmaster:'informix'.sysopclasses                                28143        8
 sysmaster:'informix'.syserrors                                   28151        8
 sysmaster:'informix'.systraceclasses                             28159        8
 sysmaster:'informix'.systracemsgs                                28167        8
 sysmaster:'informix'.sysroutinelangs                             28175        8
 sysmaster:'informix'.syslangauth                                 28183        8
 sysmaster:'informix'.sysaggregates                               28191        8
 sysmaster:'informix'.sysroleauth                                 28199        8
 sysmaster:'informix'.sysobjstate                                 28207        8
 sysmaster:'informix'.sysviolations                               28215        8
 sysmaster:'informix'.syssequences                                28223        8
